ID,geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,go_term
Vitvi19g02038,Vitvi19g02038,246.7416,4.104878,0.2027942,20.2416,4.21E-91,0,#N/A
Vitvi12g00722,Vitvi12g00722,348.5861,2.781188,0.1377064,20.19651,1.05E-90,0,GO:0006006
Vitvi09g01513,Vitvi09g01513,142.0613,4.168236,0.2079022,20.04902,2.06E-89,0,GO:0030145
Vitvi11g00955,Vitvi11g00955,451.8904,2.949656,0.1475294,19.99368,6.25E-89,0,GO:0004185
Vitvi01g01376,Vitvi01g01376,1455.916949,1.125506876,0.056312937,19.98664829,7.20E-89,0,GO:0050660
Vitvi13g01242,Vitvi13g01242,6028.928,-1.683098,0.08426006,-19.97504,9.08E-89,0,GO:0008138
Vitvi01g00280,Vitvi01g00280,2844.370489,2.190891442,0.110579207,19.81286997,2.31E-87,0,GO:0003824
Vitvi11g00451,Vitvi11g00451,611.4905,1.465468,0.07409475,19.7783,4.58E-87,0,GO:0022857
Vitvi12g00153,Vitvi12g00153,240.9227,3.731079,0.1886431,19.77851,4.56E-87,0,GO:0016491
Vitvi13g01994,Vitvi13g01994,9132.305,-1.097266,0.0556753,-19.70831,1.83E-86,0,GO:0005524
Vitvi18g01174,Vitvi18g01174,2001.116,-1.624691,0.08307309,-19.55736,3.57E-85,0,GO:0016624
Vitvi02g00511,Vitvi02g00511,1083.693,1.437649,0.07465065,19.25835,1.20E-82,0,GO:0055114
Vitvi01g00918,Vitvi01g00918,1122.118504,-1.661953325,0.086654021,-19.17918303,5.52E-82,0,GO:0003677
Vitvi18g00137,Vitvi18g00137,3173.072,2.06413,0.1104871,18.68209,6.93E-78,0,GO:0005507
Vitvi05g00212,Vitvi05g00212,1252.3,1.727369,0.09351698,18.47118,3.52E-76,0,GO:0004650
Vitvi08g02122,Vitvi08g02122,194.1453,3.023986,0.1653073,18.29312,9.39E-75,0,GO:0004185
Vitvi08g02128,Vitvi08g02128,1194.231,2.980948,0.1636928,18.21063,4.25E-74,0,GO:0004185
Vitvi02g00232,Vitvi02g00232,2353.804204,1.822610197,0.100791019,18.08306143,4.33E-73,0,#N/A
Vitvi18g02476,Vitvi18g02476,1039.853,1.946167,0.107671,18.07512,5.00E-73,0,GO:0003824
Vitvi16g01289,Vitvi16g01289,2111.914,-1.095608,0.06125893,-17.88488,1.55E-71,0,GO:0005515
Vitvi06g00498,Vitvi06g00498,418.9573,1.795856,0.1010323,17.77508,1.10E-70,0,GO:0005506
Vitvi17g01613,Vitvi17g01613,305.9931,3.768024,0.212306,17.74808,1.78E-70,0,GO:0004866
Vitvi02g00702,Vitvi02g00702,3233.855,-1.678432,0.09491986,-17.68262,5.71E-70,0,#N/A
Vitvi10g00599,Vitvi10g00599,1113.898,-1.309002,0.07410906,-17.66318,8.06E-70,0,GO:0007165
Vitvi09g01420,Vitvi09g01420,641.8577,1.80453,0.1028055,17.55285,5.66E-69,0,GO:0000250
